date,code,open,high,low,close,volume
2024-01-02,sh.600887,26.85,26.85,26.26,26.27,26732203
2024-01-03,sh.600887,26.25,26.42,26.0,26.06,28797628
2024-01-04,sh.600887,26.09,26.18,25.8,25.97,29419275
2024-01-05,sh.600887,25.98,26.45,25.91,26.12,38718766
2024-01-08,sh.600887,26.24,26.5,26.01,26.15,41747081
2024-01-09,sh.600887,26.1,26.44,25.85,26.31,32953927
2024-01-10,sh.600887,26.36,26.64,26.2,26.57,35659020
2024-01-11,sh.600887,26.48,26.97,26.45,26.6,36742732
2024-01-12,sh.600887,26.5,26.8,26.47,26.75,24894170
2024-01-15,sh.600887,26.67,26.95,26.5,26.71,24475931
2024-01-16,sh.600887,26.6,26.94,26.57,26.9,34821275
2024-01-17,sh.600887,26.86,26.88,26.4,26.4,34169454
2024-01-18,sh.600887,26.3,26.85,25.98,26.75,51282449
2024-01-19,sh.600887,26.51,26.92,26.47,26.87,40141585
2024-01-22,sh.600887,26.91,27.0,26.37,26.68,57716962
2024-01-23,sh.600887,26.65,26.74,26.18,26.46,36896364
2024-01-24,sh.600887,26.51,26.93,26.2,26.8,33367891
2024-01-25,sh.600887,26.79,27.09,26.73,27.07,39456231
2024-01-26,sh.600887,26.92,27.25,26.76,27.2,39674351
2024-01-29,sh.600887,27.14,27.63,27.12,27.49,47326322
2024-01-30,sh.600887,27.35,27.61,27.27,27.28,33480461
2024-01-31,sh.600887,27.25,27.48,26.9,27.09,35340671
2024-02-01,sh.600887,27.09,27.29,26.88,26.96,35076653
2024-02-02,sh.600887,27.19,27.65,26.57,26.96,59666708
2024-02-05,sh.600887,27.07,27.9,26.84,27.65,84638860
2024-02-06,sh.600887,27.65,28.5,27.62,28.14,77511024
2024-02-07,sh.600887,28.14,28.28,27.92,28.28,73080230
2024-02-08,sh.600887,28.32,28.5,27.77,28.18,59343641
2024-02-19,sh.600887,28.36,28.4,28.08,28.33,51527522
2024-02-20,sh.600887,28.32,28.72,28.18,28.68,56661323
2024-02-21,sh.600887,28.61,29.2,28.49,28.85,54495279
2024-02-22,sh.600887,28.93,29.14,28.8,29.06,35115639
2024-02-23,sh.600887,28.98,29.13,28.76,28.98,35285895
2024-02-26,sh.600887,28.92,29.04,28.68,28.69,32837483
2024-02-27,sh.600887,28.58,28.75,28.21,28.41,47891732
2024-02-28,sh.600887,28.32,28.45,28.1,28.2,47170718
2024-02-29,sh.600887,28.19,28.45,28.12,28.35,43634660
2024-03-01,sh.600887,28.3,28.43,28.11,28.26,37130686
2024-03-04,sh.600887,28.16,28.25,27.91,28.14,41221211
2024-03-05,sh.600887,28.14,28.87,28.04,28.85,58169095
2024-03-06,sh.600887,28.76,28.86,28.47,28.5,36188164
2024-03-07,sh.600887,28.44,28.73,28.38,28.55,32675768
2024-03-08,sh.600887,28.55,28.66,28.16,28.3,29025499
2024-03-11,sh.600887,28.3,28.55,28.12,28.5,35719145
2024-03-12,sh.600887,28.5,28.77,28.34,28.66,42331309
2024-03-13,sh.600887,28.62,28.66,28.07,28.17,47688167
2024-03-14,sh.600887,28.1,28.55,28.06,28.16,32590186
2024-03-15,sh.600887,28.11,28.9,28.09,28.82,70716557
2024-03-18,sh.600887,28.8,29.25,28.69,29.11,56899032
2024-03-19,sh.600887,29.05,29.29,28.85,29.09,37406363
2024-03-20,sh.600887,29.15,29.17,28.88,29.0,24940450
2024-03-21,sh.600887,29.1,29.1,28.82,28.9,22851654
2024-03-22,sh.600887,28.91,28.97,28.33,28.65,32472851
2024-03-25,sh.600887,28.58,28.65,28.35,28.38,26119000
2024-03-26,sh.600887,28.5,28.53,28.16,28.31,35446601
2024-03-27,sh.600887,28.25,28.37,28.13,28.14,29068219
2024-03-28,sh.600887,28.0,28.28,27.73,27.81,47908387
2024-03-29,sh.600887,27.84,28.14,27.76,27.9,27627047
2024-04-01,sh.600887,27.99,28.42,27.95,28.15,43091890
